REVEREND LOVEJOY'S FIRST NAME|IS?;THOMAS;TIMOTHY;DANA;TOMMY
REVEREND LOVEJOY'S WIFE IS|NAMED?;KELLY;HENRETTA;DANA;HELEN
DR. HIBBERT'S FIRST NAME IS?;JULIUS;DANA;JONATHAN;FREDERICK
ELEANOR ABERNATHY IS BETTER|KNOWN AS?;LISA'S TEACHER;MARGE'S KNITTING|CIRCLE FRIEND;PRINCIPAL|SKINNER'S FIRST|WIFE;THE CRAZY|CAT-THROWING LADY
MARGE'S MOTHER IS NAMED?;JACKIE|BOUNTIVILLE;JACQUELINE|BOUVIER;DANA GRAHAM;JUSTINE BETTERMAN
MR. BURN'S FIRST NAME IS?;MONTGOMERY;DANA;CHRISTOPHER;CHARLES
HOMER'S FRIEND CARL'S LAST|NAME IS?;CARSON;CARLSON;CARLIN;COTTER
COMIC STORE GUY'S ACTUAL NAME|IS?;JEFF ALLENVILLE;JEFF ALBERTSON;JAY THOMAS;JEROME GOODMAN
\\COMEDIAN ERIC IDLE, WHO|PORTRAYED A DOCUMENTARY|FILMAKER IN THE EPISODE|TITLED; "SCUSE ME WHILE I MISS|THE SKY" CHARATER'S NAME WAS?;DAMION DAMIONSON;DELWORTH ECLAIR;FREDRICK|MONEYWORTH;DECLAN DESMOND
NED FLANDERS WIFE WAS NAMED?;MADILINE;DANA;MARISSA;MAUDE
THE FIRST NAME OF PROFESSOR|FRINK IS?;JONATHAN;JEFFREY;JOHN;JEFF
NED FLANDERS'S VEGAS WIFE WAS|NAMED?;JENNIFER;GINGER;DANA;DEBORAH
DR. HIBBERT'S WIFE IS NAMED?;DEANNA;GERTRUDE;AGNUS;BERNICE
LISA'S TEACHER, MS. HOOVER HAS|THE FIRST NAME OF?;ELIZA;TRISHA;DANA;ELIZABETH
UNSUCCESSFUL SALESMAN GIL HAS|A LAST NAME OF?;LYNCH;GUNDERSON;GRAPEVILLE;WHITE
JIMBO, SPRINGFIELD ELEMENTARY|SCHOOL BULLY HAS A LAST NAME|OF?;JONAS;JOHNSON;JONES;JOHASSONBERG
MR. LARGO, SPRINGFIELD|ELEMENTARY SCHOOL MUSIC|TEACHER HAS A FIRST NAME OF?;DEWEY;LIONEL;HUGO;TRAVIS
THE LAST NAME OF HOMER'S|FELLOW EMPLOYEE FRIEND LENNY|IS?;CARLSON;LAMBERTH;CHRISTENSEN;LEONARD
THE LAST NAME OF OTTO,|SPRINGFIELD ELEMENTARY|SCHOOL'S BUS DRIVER IS?;MANN;MUDD;MANVILLE;MASTERSON
THE SEA CAPTAIN'S REAL NAME|IS?;CAPTAIN HARRY|CHEWSTER;CAPTAIN HORATIO|MCCALLISTER;CAPTAIN MARVIN|LENNARD;CAPTAIN THEODORE|MCCHARLES
THE LAST NAME OF DR. NICK IS?;RODRIGUEZ;SMITH;THOMPSON;RIVERA
HOMER'S VEGAS WIFE WAS NAMED?;BRITNEY;BILLIE;AMBER;JACKIE
HOMER'S MOTHER WAS NAMED?;MELISSA;AMBER;DEBORAH;MONA
CLETUS AND BRANDINE, THE|SLACK-JAWED YOKEL AND HIS WIFE|SHARE THE LAST NAME OF?;TEETHINGTON;SPUCKLER;FARRIS;SUMPINGLER
RALPH WIGGUM, SON OF POLICE|CHIEF CLANCY WIGGUM HAS A|MOTHER NAMED?;SAMANTHA;DEANNA;DANA;SARAH
