2;WHAT IS THE NAME OF KRUSTY THE|CLOWN'S MONKEY ASSISTANT?;MR. TEEMU;MR. TEENY;MR. TETLEY;MR. TENKO;page01;14-TheSimpsonsandFriendsQuiz.csv
2;WHEN HE GETS OLDER, BART WANTS|TO CHANGE HIS NAME TO WHAT?;JOHN MC SPEEDY;STEVE MC COOL;PHIL MC FABULOUS;MAX POWER;page01;14-TheSimpsonsandFriendsQuiz.csv
\\0;
3;WHAT IS THE TITLE OF BLEEDING|GUMS MURPHY'S ONLY ALBUM?;SAX ON THE MIND;SAX A MO PHONE;SAX ON THE BEACH;SAX ME UP;page01;14-TheSimpsonsandFriendsQuiz.csv
2;WHAT IS THE NAME ON FRANK|GRIMES HEADSTONE?;FRANK GRIMES;FRANK "GRIMEY"|GRIMES;FRANK GRIMES SR.;MR. FRANK GRIMES;page01;14-TheSimpsonsandFriendsQuiz.csv
\\0;
2;WHO REFERS TO MOE AS "CURLY"?;MR. BURNS;REX BANNER;RENEE;AEROSMITH;page01;14-TheSimpsonsandFriendsQuiz.csv
2;WHAT SIDE OF TOWN IS COOKIE|KWAN'S PATCH?;EAST SIDE;WEST SIDE;SOUTH SIDE;NORTH SIDE;page01;14-TheSimpsonsandFriendsQuiz.csv
4;WHICH OF THE FOLLOWING|CELEBRITIES HAS NOT GUEST|STARRED IN THE SIMPSONS?;BRENDAN FRASER;HELEN HUNT;JON GOODMAN;HARRISON FORD;page01;14-TheSimpsonsandFriendsQuiz.csv
3;WHAT IS BART ALLERGIC TO...?;PEANUT BUTTER AND|IMITATION PEANUT|BUTTER;COTTON CANDY AND|IMITATION COTTON|CANDY;BUTTERSCOTCH AND|IMITATION|BUTTERSCOTCH;CHUTNEY SQUISHY|AND IMITATION|CHUTNEY SQUISHY;page01;14-TheSimpsonsandFriendsQuiz.csv
3;WHAT IS THE NAME OF TROY MC|CLURE'S AGENT?;LIONEL HUTZ;LARRY BURNS;MAC ARTHUR PARKER;SIDESHOW MEL;page01;14-TheSimpsonsandFriendsQuiz.csv
\\0;
2;ACCORDING TO COMIC BOOK GUY,|AQUAMAN CANNOT MARRY LAVAGIRL|BECAUSE...?;SHE'S TOO HOT FOR|HIM;SHE'S GOT NO|GILLS;HE'S ALREADY|MARRIED TO MALIBU|STACEY;SHE'S IN LOVE|WITH RADIOACTIVE|MAN;page01;14-TheSimpsonsandFriendsQuiz.csv
4;WHICH OF BART'S SCHOOL CHUMS|CANNOT DRINK COW'S MILK?;MARTIN PRINCE;SHERRI AND TERRI;JIMBO JONES;MILHOUSE;page01;14-TheSimpsonsandFriendsQuiz.csv
4;WHO GUEST STARS AS THE VOICE|OF JESSICA LOVEJOY?;JODIE FOSTER;HELEN HUNT;ELIZABETH TAYLOR;MERYL STREEP;page01;14-TheSimpsonsandFriendsQuiz.csv
\\0;
1;WHO FLIES MEL GIBSON TO|SPRINGFIELD?;JOHN TRAVOLTA;BETTE MIDLER;DUSTIN HOFFMAN;LUKE PERRY;page01;14-TheSimpsonsandFriendsQuiz.csv
4;NAME THE RACEHORSE KRUSTY AND|BETTE MIDLER JOINTLY OWNED?;WIND BENEATH MY|KRUST;FURIOUS D.;MIDKRUST;KRUDDLER;page01;14-TheSimpsonsandFriendsQuiz.csv
2;COMPLETE THIS SENTENCE BY|BART: "I'D BE ON THAT AS FAST|AS OPRAH ON..."?;ROLLER SKATES;A BAKED HAM;A KRUSTYBURGER;AN ALL YOU CAN|EAT BUFFET;page01;14-TheSimpsonsandFriendsQuiz.csv
1;WHERE DID MALLOY SAY HE HAD|HIDDEN THE TREASURE?;UNDER A BIG "T";UNDER HOMER'S|COUCH;UNDER THE|KWIK-E-MART;UNDER A BIG "S";page01;14-TheSimpsonsandFriendsQuiz.csv
1;WHO TAKES OVER THE KWIK-E-MART|FROM APU WHEN HE GETS FIRED?;JAMES WOODS;SANJAY;HOMER;MICHAEL J. FOX;page01;14-TheSimpsonsandFriendsQuiz.csv
3;WHO DOES BARNEY RECORD A SONG|WITH FOR THE PLOW KING JINGLE?;BARBRA STREISAND;DOLLY PARTON;LINDA RONSTADT;CELINE DION;page01;14-TheSimpsonsandFriendsQuiz.csv
2;WHEN HOMER BECOMES A BOXER,|WHAT IS THE NAME OF HIS FIRST|OPPONENT?;BOXCAR FRED;BOXCAR BOB;BOXCAR BILL;BOXCAR TOM;page01;14-TheSimpsonsandFriendsQuiz.csv
\\0;
3;WHAT IS THE NAME OF THE HEALTH|RESORT MARGE VISITS FOR A|RELAXING TIME?;RANCHY RELAXY;HEALTHY RELAXO;RANCHO RELAXO;RELAXO RELAXO;page01;14-TheSimpsonsandFriendsQuiz.csv
