3;WHICH ONE OF THESE IS NOT ONE|OF APU'S KIDS?;ANOOP;SASHI;GEDBU;UMA;page03;08-TheSimpsonsQuizPart1.csv
\\0;
1;WHAT DID BART WANT TO CHANGE|HIS NAME TO IN "CAPE FEARE"?;GUS;GULLIVER;ISAAC;GILLIGAN;page03;08-TheSimpsonsQuizPart1.csv
2;HOW MANY CHARACTERS HAS JOE|MANTEGNA PLAYED?;1;2;3;4;page03;08-TheSimpsonsQuizPart1.csv
1;WHAT ACTOR DOES HUGH PARKFIELD|ENJOY?;JIM CARREY;MEL BROOKS;CLINT EASTWOOD;LEONARDO DI|CAPRIO;page03;08-TheSimpsonsQuizPart1.csv
3;WHAT WAS NOT A SUGGESTED NAME|FOR MOE'S FAMILY RESTAURANT?;CHAIRMAN MOE'S|MAGIC WOK;UNCLE MOE'S|FAMILY FEEDBAG;CRAZY MOE'S HOT|N' SPICY HOUSE;MADMAN MOE'S|PRESSURE COOKER;page03;08-TheSimpsonsQuizPart1.csv
1;WHERE DID LURLEEN SPEND ONE OF|HER NIGHTS?;IN A DITCH;IN A ROACH HOTEL;IN THE BAY;ON A STREET|CORNER;page03;08-TheSimpsonsQuizPart1.csv
4;WHAT TATTOO DID OTTO HAVE ON|HIS CHEST IN "A STREETCAR|NAMED MARGE"?;A SKULL HOLDING A|KNIFE;A SKULL WITH A|SNAKE THROUGH ITS|EYES;A SKULL IN A CAR;NONE OF THE ABOVE;page03;08-TheSimpsonsQuizPart1.csv
4;WHAT TATTOO DOES COMIC BOOK|GUY HAVE?;TREKKIE #1;VADER HATER;JAWS GONE WILD;JABBA THE BUTT;page03;08-TheSimpsonsQuizPart1.csv
3;WHO DOESN'T THINK PEOPLE WERE|SAD IN THE PAST?;BIRCH BARLOW;RON HOWARD;MARY-KATE &|ASHLEY OLSEN;THE BRADY BUNCH;page03;08-TheSimpsonsQuizPart1.csv
